0 length 1209;
0 note 76 100;
8 note 76 0;
9 note 76 100;
18 note 76 0;
19 note 76 100;
28 note 76 0;
29 note 76 100;
38 note 76 0;
39 note 76 100;
48 note 76 0;
49 note 76 100;
58 note 76 0;
59 note 76 100;
68 note 76 0;
69 note 76 100;
78 note 76 0;
79 note 76 100;
88 note 76 0;
89 note 76 100;
98 note 76 0;
99 note 76 100;
108 note 76 0;
109 note 76 100;
118 note 76 0;
119 note 76 100;
128 note 76 0;
129 note 76 100;
138 note 76 0;
139 note 76 100;
148 note 76 0;
149 note 76 100;
158 note 76 0;
159 note 76 100;
168 note 76 0;
169 note 76 100;
178 note 76 0;
179 note 76 100;
188 note 76 0;
189 note 76 100;
198 note 76 0;
199 note 76 100;
208 note 76 0;
209 note 76 100;
218 note 76 0;
219 note 76 100;
228 note 76 0;
229 note 76 100;
238 note 76 0;
239 note 76 100;
248 note 76 0;
249 note 76 100;
258 note 76 0;
259 note 76 100;
268 note 76 0;
269 note 76 100;
278 note 76 0;
279 note 76 100;
288 note 76 0;
289 note 76 100;
298 note 76 0;
299 note 76 100;
308 note 76 0;
309 note 76 100;
318 note 76 0;
319 note 76 100;
328 note 76 0;
329 note 76 100;
338 note 76 0;
339 note 76 100;
348 note 76 0;
349 note 76 100;
358 note 76 0;
359 note 76 100;
368 note 76 0;
369 note 76 100;
378 note 76 0;
379 note 76 100;
388 note 76 0;
389 note 76 100;
398 note 76 0;
399 note 76 100;
408 note 76 0;
409 note 76 100;
418 note 76 0;
419 note 76 100;
428 note 76 0;
429 note 76 100;
438 note 76 0;
439 note 76 100;
448 note 76 0;
449 note 76 100;
458 note 76 0;
459 note 76 100;
468 note 76 0;
469 note 76 100;
478 note 76 0;
479 note 76 100;
488 note 76 0;
489 note 76 100;
498 note 76 0;
499 note 76 100;
508 note 76 0;
509 note 76 100;
518 note 76 0;
519 note 76 100;
528 note 76 0;
529 note 76 100;
538 note 76 0;
539 note 76 100;
548 note 76 0;
549 note 76 100;
558 note 76 0;
559 note 76 100;
568 note 76 0;
569 note 76 100;
578 note 76 0;
579 note 76 100;
588 note 76 0;
589 note 76 100;
598 note 76 0;
599 note 76 100;
608 note 76 0;
609 note 76 100;
618 note 76 0;
619 note 76 100;
628 note 76 0;
629 note 76 100;
638 note 76 0;
639 note 76 100;
648 note 76 0;
649 note 76 100;
658 note 76 0;
659 note 76 100;
668 note 76 0;
669 note 76 100;
678 note 76 0;
679 note 76 100;
688 note 76 0;
689 note 76 100;
698 note 76 0;
699 note 76 100;
708 note 76 0;
709 note 76 100;
718 note 76 0;
719 note 76 100;
728 note 76 0;
729 note 76 100;
738 note 76 0;
739 note 76 100;
748 note 76 0;
749 note 76 100;
758 note 76 0;
759 note 76 100;
768 note 76 0;
769 note 76 100;
778 note 76 0;
779 note 76 100;
788 note 76 0;
789 note 76 100;
798 note 76 0;
799 note 76 100;
808 note 76 0;
809 note 76 100;
818 note 76 0;
819 note 76 100;
828 note 76 0;
829 note 76 100;
838 note 76 0;
839 note 76 100;
848 note 76 0;
849 note 76 100;
858 note 76 0;
859 note 76 100;
868 note 76 0;
869 note 76 100;
878 note 76 0;
879 note 76 100;
888 note 76 0;
889 note 76 100;
898 note 76 0;
899 note 76 100;
908 note 76 0;
909 note 76 100;
918 note 76 0;
919 note 76 100;
928 note 76 0;
929 note 76 100;
938 note 76 0;
939 note 76 100;
948 note 76 0;
949 note 76 100;
958 note 76 0;
959 note 76 100;
968 note 76 0;
969 note 76 100;
978 note 76 0;
979 note 76 100;
988 note 76 0;
989 note 76 100;
998 note 76 0;
999 note 76 100;
1008 note 76 0;
1009 note 76 100;
1018 note 76 0;
1019 note 76 100;
1028 note 76 0;
1029 note 76 100;
1038 note 76 0;
1039 note 76 100;
1048 note 76 0;
1049 note 76 100;
1058 note 76 0;
1059 note 76 100;
1068 note 76 0;
1069 note 76 100;
1078 note 76 0;
1079 note 76 100;
1088 note 76 0;
1089 note 76 100;
1098 note 76 0;
1099 note 76 100;
1108 note 76 0;
1109 note 76 100;
1118 note 76 0;
1119 note 76 100;
1128 note 76 0;
1129 note 76 100;
1138 note 76 0;
1139 note 76 100;
1148 note 76 0;
1149 note 76 100;
1158 note 76 0;
1159 note 76 100;
1168 note 76 0;
1169 note 76 100;
1178 note 76 0;
1179 note 76 100;
1188 note 76 0;
1189 note 76 100;
1198 note 76 0;
1199 note 76 100;
1208 note 76 0;
