0 length 8839;
0 note 74 100;
0 note 81 100;
66 note 72 71;
66 note 72 71;
70 note 74 0;
70 note 74 0;
118 note 74 0;
118 note 81 0;
119 note 74 100;
121 note 81 100;
150 note 72 0;
150 note 72 0;
241 note 74 0;
241 note 81 0;
242 note 74 100;
244 note 81 100;
364 note 74 0;
364 note 81 0;
365 note 74 100;
367 note 81 100;
487 note 74 0;
487 note 81 0;
488 note 74 100;
490 note 81 100;
610 note 74 0;
610 note 81 0;
611 note 74 100;
613 note 81 100;
733 note 74 0;
733 note 81 0;
734 note 74 100;
736 note 81 100;
807 note 74 0;
807 note 81 0;
808 note 74 100;
808 note 81 100;
927 note 74 0;
927 note 81 0;
928 note 74 100;
930 note 81 100;
1050 note 74 0;
1050 note 81 0;
1051 note 74 100;
1053 note 81 100;
1173 note 74 0;
1173 note 81 0;
1174 note 74 100;
1176 note 81 100;
1296 note 74 0;
1296 note 81 0;
1297 note 74 100;
1299 note 81 100;
1419 note 74 0;
1419 note 81 0;
1420 note 74 100;
1422 note 81 100;
1542 note 74 0;
1542 note 81 0;
1543 note 74 100;
1545 note 81 100;
1616 note 74 0;
1616 note 81 0;
1617 note 74 100;
1617 note 81 100;
1736 note 74 0;
1736 note 81 0;
1737 note 74 100;
1739 note 81 100;
1859 note 74 0;
1859 note 81 0;
1860 note 74 100;
1862 note 81 100;
1982 note 74 0;
1982 note 81 0;
1983 note 74 100;
1985 note 81 100;
2105 note 74 0;
2105 note 81 0;
2106 note 74 100;
2108 note 81 100;
2228 note 74 0;
2228 note 81 0;
2229 note 74 100;
2231 note 81 100;
2351 note 74 0;
2351 note 81 0;
2352 note 74 100;
2354 note 81 100;
2425 note 74 0;
2425 note 81 0;
2426 note 74 100;
2426 note 81 100;
2545 note 74 0;
2545 note 81 0;
2546 note 74 100;
2548 note 81 100;
2668 note 74 0;
2668 note 81 0;
2669 note 74 100;
2671 note 81 100;
2791 note 74 0;
2791 note 81 0;
2792 note 74 100;
2794 note 81 100;
2914 note 74 0;
2914 note 81 0;
2915 note 74 100;
2917 note 81 100;
3037 note 74 0;
3037 note 81 0;
3038 note 74 100;
3040 note 81 100;
3160 note 74 0;
3160 note 81 0;
3161 note 74 100;
3163 note 81 100;
3234 note 74 0;
3234 note 81 0;
3235 note 74 100;
3235 note 81 100;
3243 note 79 96;
3243 note 79 96;
3354 note 74 0;
3354 note 81 0;
3355 note 74 100;
3357 note 81 100;
3378 note 77 87;
3378 note 77 87;
3386 note 79 0;
3386 note 79 0;
3477 note 74 0;
3477 note 81 0;
3478 note 74 100;
3480 note 81 100;
3504 note 76 67;
3504 note 76 67;
3516 note 77 0;
3516 note 77 0;
3580 note 76 0;
3580 note 76 0;
3600 note 74 0;
3600 note 81 0;
3601 note 74 100;
3603 note 81 100;
3723 note 74 0;
3723 note 81 0;
3724 note 74 100;
3726 note 81 100;
3846 note 74 0;
3846 note 81 0;
3847 note 74 100;
3849 note 81 100;
3969 note 74 0;
3969 note 81 0;
3970 note 74 100;
3972 note 81 100;
4043 note 74 0;
4043 note 81 0;
4044 note 74 100;
4044 note 81 100;
4163 note 74 0;
4163 note 81 0;
4164 note 74 100;
4166 note 81 100;
4286 note 74 0;
4286 note 81 0;
4287 note 74 100;
4289 note 81 100;
4367 note 67 80;
4367 note 67 80;
4409 note 74 0;
4409 note 81 0;
4410 note 74 100;
4412 note 81 100;
4500 note 69 90;
4500 note 69 90;
4519 note 67 0;
4519 note 67 0;
4532 note 74 0;
4532 note 81 0;
4533 note 74 100;
4535 note 81 100;
4576 note 69 0;
4576 note 69 0;
4655 note 74 0;
4655 note 81 0;
4656 note 74 100;
4658 note 81 100;
4778 note 74 0;
4778 note 81 0;
4779 note 74 100;
4781 note 81 100;
4852 note 74 0;
4852 note 81 0;
4853 note 74 100;
4853 note 81 100;
4972 note 74 0;
4972 note 81 0;
4973 note 74 100;
4975 note 81 100;
5095 note 74 0;
5095 note 81 0;
5096 note 74 100;
5098 note 81 100;
5218 note 74 0;
5218 note 81 0;
5219 note 74 100;
5221 note 81 100;
5341 note 74 0;
5341 note 81 0;
5342 note 74 100;
5344 note 81 100;
5464 note 74 0;
5464 note 81 0;
5465 note 74 100;
5467 note 81 100;
5587 note 74 0;
5587 note 81 0;
5588 note 74 100;
5590 note 81 100;
5661 note 74 0;
5661 note 81 0;
5662 note 74 100;
5662 note 81 100;
5781 note 74 0;
5781 note 81 0;
5782 note 74 100;
5784 note 81 100;
5904 note 74 0;
5904 note 81 0;
5905 note 74 100;
5907 note 81 100;
6027 note 74 0;
6027 note 81 0;
6028 note 74 100;
6030 note 81 100;
6150 note 74 0;
6150 note 81 0;
6151 note 74 100;
6153 note 81 100;
6236 note 84 63;
6273 note 74 0;
6273 note 81 0;
6274 note 74 100;
6276 note 81 100;
6312 note 84 0;
6388 note 83 96;
6388 note 83 96;
6396 note 74 0;
6396 note 81 0;
6397 note 74 100;
6399 note 81 100;
6470 note 74 0;
6470 note 81 0;
6471 note 74 100;
6471 note 81 100;
6490 note 83 0;
6490 note 83 0;
6590 note 74 0;
6590 note 81 0;
6591 note 74 100;
6593 note 81 100;
6630 note 84 104;
6705 note 84 0;
6713 note 74 0;
6713 note 81 0;
6714 note 74 100;
6716 note 81 100;
6807 note 83 100;
6807 note 83 100;
6836 note 74 0;
6836 note 81 0;
6837 note 74 100;
6839 note 81 100;
6924 note 83 0;
6924 note 83 0;
6959 note 74 0;
6959 note 81 0;
6960 note 74 100;
6962 note 81 100;
7079 note 84 112;
7082 note 74 0;
7082 note 81 0;
7083 note 74 100;
7085 note 81 100;
7162 note 84 0;
7205 note 74 0;
7205 note 81 0;
7206 note 74 100;
7208 note 81 100;
7256 note 83 96;
7256 note 83 96;
7279 note 74 0;
7279 note 81 0;
7280 note 74 100;
7280 note 81 100;
7399 note 74 0;
7399 note 81 0;
7400 note 74 100;
7402 note 81 100;
7404 note 83 0;
7404 note 83 0;
7522 note 74 0;
7522 note 81 0;
7523 note 74 100;
7525 note 81 100;
7529 note 84 116;
7611 note 84 0;
7645 note 74 0;
7645 note 81 0;
7646 note 74 100;
7648 note 81 100;
7717 note 83 120;
7717 note 83 120;
7768 note 74 0;
7768 note 81 0;
7769 note 74 100;
7771 note 81 100;
