0 length 3532;
0 note 67 60;
0 note 67 60;
322 note 67 0;
322 note 67 0;
436 note 69 63;
436 note 69 63;
556 note 69 0;
556 note 69 0;
659 note 71 77;
659 note 71 77;
923 note 71 0;
923 note 71 0;
1081 note 67 57;
1081 note 67 57;
1193 note 67 0;
1193 note 67 0;
1332 note 72 62;
1332 note 72 62;
1609 note 72 0;
1609 note 72 0;
1760 note 71 68;
1760 note 71 68;
2033 note 71 0;
2033 note 71 0;
2192 note 69 63;
2192 note 69 63;
2440 note 69 0;
2440 note 69 0;
2648 note 74 63;
2648 note 74 63;
3079 note 74 0;
3079 note 74 0;
