0 length 2660;
0 note 74 100;
0 note 81 100;
65 note 72 71;
65 note 72 71;
69 note 74 0;
69 note 74 0;
117 note 74 0;
117 note 81 0;
118 note 74 100;
120 note 81 100;
149 note 72 0;
149 note 72 0;
240 note 74 0;
240 note 81 0;
241 note 74 100;
243 note 81 100;
363 note 74 0;
363 note 81 0;
364 note 74 100;
366 note 81 100;
486 note 74 0;
486 note 81 0;
487 note 74 100;
489 note 81 100;
609 note 74 0;
609 note 81 0;
610 note 74 100;
612 note 81 100;
732 note 74 0;
732 note 81 0;
733 note 74 100;
735 note 81 100;
806 note 74 0;
806 note 81 0;
807 note 74 100;
807 note 81 100;
926 note 74 0;
926 note 81 0;
927 note 74 100;
929 note 81 100;
1049 note 74 0;
1049 note 81 0;
1050 note 74 100;
1052 note 81 100;
1172 note 74 0;
1172 note 81 0;
1173 note 74 100;
1175 note 81 100;
1295 note 74 0;
1295 note 81 0;
1296 note 74 100;
1298 note 81 100;
1418 note 74 0;
1418 note 81 0;
1419 note 74 100;
1421 note 81 100;
1541 note 74 0;
1541 note 81 0;
1542 note 74 100;
1544 note 81 100;
1615 note 74 0;
1615 note 81 0;
1616 note 74 100;
1616 note 81 100;
1735 note 74 0;
1735 note 81 0;
1736 note 74 100;
1738 note 81 100;
1858 note 74 0;
1858 note 81 0;
1859 note 74 100;
1861 note 81 100;
1981 note 74 0;
1981 note 81 0;
1982 note 74 100;
1984 note 81 100;
2104 note 74 0;
2104 note 81 0;
2105 note 74 100;
2107 note 81 100;
2227 note 74 0;
2227 note 81 0;
2228 note 74 100;
2230 note 81 100;
2350 note 74 0;
2350 note 81 0;
2351 note 74 100;
2353 note 81 100;
2424 note 74 0;
2424 note 81 0;
2425 note 74 100;
2425 note 81 100;
2544 note 74 0;
2544 note 81 0;
2545 note 74 100;
2547 note 81 100;
