0 length 6095;
0 note 64 41;
0 note 64 41;
2 note 67 33;
2 note 67 33;
10 note 62 28;
10 note 62 28;
1086 note 67 0;
1086 note 67 0;
1108 note 64 0;
1108 note 64 0;
1181 note 66 28;
1181 note 66 28;
2157 note 66 0;
2157 note 66 0;
2315 note 64 2;
2315 note 64 2;
2376 note 69 11;
2376 note 69 11;
3085 note 64 0;
3085 note 64 0;
3125 note 66 8;
3125 note 66 8;
3530 note 66 0;
3530 note 66 0;
3556 note 67 57;
3556 note 67 57;
3581 note 69 0;
3581 note 69 0;
4234 note 66 48;
4234 note 66 48;
4613 note 64 3;
4613 note 64 3;
5701 note 62 0;
5701 note 62 0;
5708 note 67 0;
5708 note 67 0;
5719 note 64 0;
5719 note 64 0;
5730 note 66 0;
5730 note 66 0;
