0 length 4902;
0 note 63 47;
122 note 63 0;
122 note 63 0;
651 note 62 49;
651 note 62 49;
854 note 62 0;
854 note 62 0;
991 note 64 59;
991 note 64 59;
1179 note 64 0;
1179 note 64 0;
1315 note 62 60;
1315 note 62 60;
1499 note 62 0;
1499 note 62 0;
1656 note 65 59;
1656 note 65 59;
1823 note 65 0;
1823 note 65 0;
1957 note 69 57;
1957 note 69 57;
2146 note 69 0;
2146 note 69 0;
2270 note 71 59;
2270 note 71 59;
2490 note 71 0;
2490 note 71 0;
2588 note 69 48;
2588 note 69 48;
3010 note 69 0;
3010 note 69 0;
3182 note 74 59;
3182 note 74 59;
3376 note 74 0;
3376 note 74 0;
3490 note 71 53;
3490 note 71 53;
3490 note 72 48;
3490 note 72 48;
3667 note 72 0;
3667 note 72 0;
3675 note 71 0;
3675 note 71 0;
3788 note 69 50;
3788 note 69 50;
3996 note 69 0;
3996 note 69 0;
4090 note 67 45;
4090 note 67 45;
4289 note 67 0;
4289 note 67 0;
4407 note 69 54;
4407 note 69 54;
4669 note 69 0;
4669 note 69 0;
