0 length 40275;
0 note 63 62;
119 note 73 0;
119 note 73 0;
229 note 63 0;
229 note 63 0;
390 note 63 62;
547 note 70 54;
547 note 70 54;
620 note 63 0;
620 note 63 0;
707 note 70 0;
707 note 70 0;
715 note 73 44;
715 note 73 44;
781 note 63 62;
810 note 73 0;
810 note 73 0;
1011 note 63 0;
1011 note 63 0;
1128 note 75 56;
1128 note 75 56;
1172 note 63 62;
1253 note 75 0;
1253 note 75 0;
1344 note 75 59;
1344 note 75 59;
1402 note 63 0;
1402 note 63 0;
1437 note 75 0;
1437 note 75 0;
1563 note 63 62;
1564 note 75 99;
1564 note 75 99;
1793 note 63 0;
1793 note 63 0;
1954 note 63 62;
2113 note 75 0;
2113 note 75 0;
2184 note 63 0;
2184 note 63 0;
2345 note 63 62;
2575 note 63 0;
2575 note 63 0;
2716 note 70 56;
2716 note 70 56;
2736 note 63 62;
2901 note 68 47;
2901 note 68 47;
2908 note 70 0;
2908 note 70 0;
2966 note 63 0;
2966 note 63 0;
3069 note 68 0;
3069 note 68 0;
3081 note 66 56;
3081 note 66 56;
3127 note 63 62;
3357 note 63 0;
3357 note 63 0;
3509 note 66 0;
3509 note 66 0;
3518 note 63 62;
3708 note 68 57;
3708 note 68 57;
3748 note 63 0;
3748 note 63 0;
3909 note 63 62;
3932 note 68 0;
3932 note 68 0;
4139 note 63 0;
4139 note 63 0;
4257 note 63 99;
4257 note 63 99;
4300 note 63 62;
4519 note 63 0;
4519 note 63 0;
4530 note 63 0;
4530 note 63 0;
4637 note 61 90;
4637 note 61 90;
4691 note 63 62;
4833 note 63 56;
4833 note 63 56;
4865 note 61 0;
4865 note 61 0;
4921 note 63 0;
4921 note 63 0;
5082 note 63 62;
5273 note 63 0;
5273 note 63 0;
5273 note 66 54;
5273 note 66 54;
5296 note 66 0;
5296 note 66 0;
5296 note 65 81;
5296 note 65 81;
5312 note 63 0;
5312 note 63 0;
5375 note 65 0;
5375 note 65 0;
5473 note 63 62;
5536 note 66 30;
5536 note 66 30;
5703 note 63 0;
5703 note 63 0;
5864 note 63 62;
6018 note 66 0;
6018 note 66 0;
6094 note 63 0;
6094 note 63 0;
6255 note 63 62;
6453 note 65 56;
6453 note 65 56;
6485 note 63 0;
6485 note 63 0;
6646 note 63 62;
6669 note 66 51;
6669 note 66 51;
6689 note 65 0;
6689 note 65 0;
6857 note 68 38;
6857 note 68 38;
6876 note 63 0;
6876 note 63 0;
6901 note 66 0;
6901 note 66 0;
7037 note 63 62;
7058 note 68 0;
7058 note 68 0;
7078 note 70 44;
7078 note 70 44;
7267 note 63 0;
7267 note 63 0;
7411 note 70 0;
7411 note 70 0;
7428 note 63 62;
7469 note 63 39;
7469 note 63 39;
7658 note 63 0;
7658 note 63 0;
7681 note 63 0;
7681 note 63 0;
7819 note 63 62;
8034 note 78 58;
8034 note 78 58;
8049 note 63 0;
8049 note 63 0;
8210 note 63 62;
8426 note 78 0;
8426 note 78 0;
8440 note 63 0;
8440 note 63 0;
8601 note 63 62;
8622 note 77 35;
8622 note 77 35;
8831 note 63 0;
8831 note 63 0;
8858 note 77 0;
8858 note 77 0;
8979 note 75 15;
8979 note 75 15;
8992 note 63 62;
9187 note 75 0;
9187 note 75 0;
9199 note 73 54;
9199 note 73 54;
9222 note 63 0;
9222 note 63 0;
9383 note 63 62;
9557 note 73 0;
9557 note 73 0;
9564 note 75 35;
9564 note 75 35;
9613 note 63 0;
9613 note 63 0;
9774 note 63 62;
9793 note 75 0;
9793 note 75 0;
10004 note 63 0;
10004 note 63 0;
10020 note 66 62;
10020 note 66 62;
10165 note 63 62;
10395 note 63 0;
10395 note 63 0;
10556 note 63 62;
10756 note 68 43;
10756 note 68 43;
10760 note 66 0;
10760 note 66 0;
10786 note 63 0;
10786 note 63 0;
10947 note 63 62;
11177 note 63 0;
11177 note 63 0;
11338 note 63 62;
11379 note 70 56;
11379 note 70 56;
11392 note 68 0;
11392 note 68 0;
11568 note 63 0;
11568 note 63 0;
11729 note 63 62;
11744 note 70 0;
11744 note 70 0;
11921 note 61 51;
11921 note 61 51;
11959 note 63 0;
11959 note 63 0;
12120 note 63 62;
12350 note 63 0;
12350 note 63 0;
12511 note 63 62;
12741 note 63 0;
12741 note 63 0;
12902 note 63 62;
13116 note 60 50;
13116 note 60 50;
13131 note 61 0;
13131 note 61 0;
13132 note 63 0;
13132 note 63 0;
13293 note 63 62;
13523 note 63 0;
13523 note 63 0;
13684 note 63 62;
13914 note 63 0;
13914 note 63 0;
14075 note 63 62;
14292 note 61 54;
14292 note 61 54;
14305 note 63 0;
14305 note 63 0;
14315 note 60 0;
14315 note 60 0;
14466 note 63 62;
14488 note 60 45;
14488 note 60 45;
14520 note 61 0;
14520 note 61 0;
14673 note 61 58;
14673 note 61 58;
14692 note 60 0;
14692 note 60 0;
14696 note 63 0;
14696 note 63 0;
14857 note 63 62;
14865 note 63 53;
14865 note 63 53;
14885 note 61 0;
14885 note 61 0;
15087 note 63 0;
15087 note 63 0;
15248 note 63 62;
15441 note 66 61;
15441 note 66 61;
15449 note 63 0;
15449 note 63 0;
15478 note 63 0;
15478 note 63 0;
15639 note 63 62;
15869 note 63 0;
15869 note 63 0;
15994 note 66 0;
15994 note 66 0;
16030 note 63 62;
16210 note 65 59;
16210 note 65 59;
16260 note 63 0;
16260 note 63 0;
16421 note 63 62;
16606 note 66 35;
16606 note 66 35;
16649 note 65 0;
16649 note 65 0;
16651 note 63 0;
16651 note 63 0;
16812 note 63 62;
16833 note 66 0;
16833 note 66 0;
16841 note 68 42;
16841 note 68 42;
17042 note 63 0;
17042 note 63 0;
17187 note 68 0;
17187 note 68 0;
17191 note 66 53;
17191 note 66 53;
17203 note 63 62;
17433 note 63 0;
17433 note 63 0;
17446 note 68 53;
17446 note 68 53;
17461 note 66 0;
17461 note 66 0;
17594 note 63 62;
17794 note 68 0;
17794 note 68 0;
17799 note 70 54;
17799 note 70 54;
17824 note 63 0;
17824 note 63 0;
17842 note 71 59;
17842 note 71 59;
17893 note 70 0;
17893 note 70 0;
17933 note 71 0;
17933 note 71 0;
17985 note 63 62;
18062 note 70 44;
18062 note 70 44;
18215 note 63 0;
18215 note 63 0;
18246 note 70 0;
18246 note 70 0;
18376 note 63 62;
18431 note 70 10;
18431 note 70 10;
18524 note 70 0;
18524 note 70 0;
18606 note 63 0;
18606 note 63 0;
18767 note 63 62;
18997 note 63 0;
18997 note 63 0;
19008 note 78 50;
19008 note 78 50;
19158 note 63 62;
19388 note 63 0;
19388 note 63 0;
19490 note 78 0;
19490 note 78 0;
19545 note 77 36;
19545 note 77 36;
19549 note 63 62;
19779 note 63 0;
19779 note 63 0;
19940 note 63 62;
19976 note 77 0;
19976 note 77 0;
20138 note 75 47;
20138 note 75 47;
20170 note 63 0;
20170 note 63 0;
20331 note 63 62;
20561 note 63 0;
20561 note 63 0;
20678 note 75 0;
20678 note 75 0;
20706 note 74 55;
20706 note 74 55;
20722 note 63 62;
20952 note 63 0;
20952 note 63 0;
21055 note 74 0;
21055 note 74 0;
21113 note 63 62;
21271 note 73 54;
21271 note 73 54;
21343 note 63 0;
21343 note 63 0;
21504 note 63 62;
21734 note 63 0;
21734 note 63 0;
21855 note 73 0;
21855 note 73 0;
21895 note 63 62;
21915 note 70 33;
21915 note 70 33;
22125 note 63 0;
22125 note 63 0;
22286 note 63 62;
22483 note 73 44;
22483 note 73 44;
22507 note 70 0;
22507 note 70 0;
22516 note 63 0;
22516 note 63 0;
22677 note 63 62;
22907 note 63 0;
22907 note 63 0;
23008 note 73 0;
23008 note 73 0;
23032 note 68 53;
23032 note 68 53;
23068 note 63 62;
23298 note 63 0;
23298 note 63 0;
23459 note 63 62;
23663 note 73 43;
23663 note 73 43;
23683 note 68 0;
23683 note 68 0;
23689 note 63 0;
23689 note 63 0;
23850 note 63 62;
