0 length 1918;
0 note 63 53;
53 note 64 45;
53 note 64 45;
135 note 63 0;
135 note 63 0;
199 note 65 41;
199 note 65 41;
215 note 64 0;
215 note 64 0;
400 note 65 0;
400 note 65 0;
416 note 67 57;
416 note 67 57;
569 note 67 0;
569 note 67 0;
581 note 69 49;
581 note 69 49;
755 note 63 53;
763 note 69 0;
763 note 69 0;
767 note 67 33;
767 note 67 33;
884 note 65 30;
884 note 65 30;
891 note 63 0;
891 note 63 0;
908 note 67 0;
908 note 67 0;
1042 note 64 58;
1042 note 64 58;
1062 note 65 0;
1062 note 65 0;
1140 note 64 0;
1140 note 64 0;
1224 note 62 95;
1224 note 62 95;
1451 note 62 0;
1451 note 62 0;
1511 note 63 53;
1647 note 63 0;
1647 note 63 0;
