0 length 4004;
0 note 63 47;
143 note 63 0;
143 note 63 0;
912 note 74 30;
912 note 74 30;
1111 note 74 0;
1111 note 74 0;
1353 note 67 41;
1353 note 67 41;
1554 note 67 0;
1554 note 67 0;
1580 note 72 3;
1580 note 72 3;
1798 note 71 35;
1798 note 71 35;
1798 note 72 0;
1798 note 72 0;
2153 note 71 0;
2153 note 71 0;
2273 note 69 43;
2273 note 69 43;
2534 note 69 0;
2534 note 69 0;
2739 note 65 38;
2739 note 65 38;
2965 note 67 5;
2965 note 67 5;
2999 note 65 0;
2999 note 65 0;
3179 note 67 0;
3179 note 67 0;
3202 note 64 47;
3202 note 64 47;
3451 note 64 0;
3451 note 64 0;
3629 note 62 45;
3629 note 62 45;
3849 note 62 0;
3849 note 62 0;
