0 length 3589;
0 note 63 57;
161 note 63 0;
161 note 63 0;
1068 note 63 55;
1068 note 63 55;
1330 note 63 0;
1330 note 63 0;
1429 note 70 55;
1429 note 70 55;
1657 note 70 0;
1657 note 70 0;
1809 note 68 49;
1809 note 68 49;
2017 note 68 0;
2017 note 68 0;
2182 note 70 59;
2182 note 70 59;
2450 note 64 51;
2450 note 64 51;
2452 note 63 18;
2452 note 63 18;
2475 note 70 0;
2475 note 70 0;
2503 note 63 0;
2503 note 63 0;
2510 note 64 0;
2510 note 64 0;
2817 note 63 61;
2817 note 63 61;
2922 note 63 0;
2922 note 63 0;
3146 note 61 55;
3146 note 61 55;
3217 note 61 0;
3217 note 61 0;
3319 note 61 108;
3319 note 61 108;
3498 note 61 0;
3498 note 61 0;
