0 length 5393;
0 note 63 117;
99 note 63 0;
99 note 63 0;
1769 note 72 99;
1769 note 72 99;
1856 note 72 0;
1856 note 72 0;
1921 note 71 95;
1921 note 71 95;
2012 note 71 0;
2012 note 71 0;
2086 note 69 99;
2086 note 69 99;
2320 note 69 0;
2320 note 69 0;
2382 note 76 99;
2382 note 76 99;
2559 note 76 0;
2559 note 76 0;
2693 note 74 95;
2693 note 74 95;
2923 note 74 0;
2923 note 74 0;
3018 note 72 77;
3018 note 72 77;
3121 note 72 0;
3121 note 72 0;
3166 note 74 60;
3166 note 74 60;
3262 note 74 0;
3262 note 74 0;
3327 note 72 81;
3327 note 72 81;
3426 note 72 0;
3426 note 72 0;
3475 note 71 68;
3475 note 71 68;
3566 note 71 0;
3566 note 71 0;
3631 note 69 90;
3631 note 69 90;
3631 note 71 72;
3631 note 71 72;
3644 note 71 0;
3644 note 71 0;
3792 note 69 0;
3792 note 69 0;
3944 note 71 108;
3944 note 71 108;
4162 note 71 0;
4162 note 71 0;
4232 note 67 99;
4232 note 67 99;
4360 note 67 0;
4360 note 67 0;
4560 note 69 113;
4560 note 69 113;
5146 note 69 0;
5146 note 69 0;
