0 length 21988;
0 note 70 100;
0 note 70 100;
767 note 70 0;
767 note 70 0;
1611 note 66 90;
1611 note 66 90;
2636 note 66 0;
2636 note 66 0;
3355 note 73 77;
3355 note 73 77;
4451 note 73 0;
4451 note 73 0;
5149 note 70 81;
5149 note 70 81;
6386 note 70 0;
6386 note 70 0;
7136 note 63 104;
7136 note 63 104;
8587 note 63 0;
8587 note 63 0;
9025 note 61 86;
9025 note 61 86;
9425 note 61 0;
9425 note 61 0;
9864 note 63 72;
9864 note 63 72;
10188 note 63 0;
10188 note 63 0;
10689 note 66 77;
10689 note 66 77;
11065 note 66 0;
11065 note 66 0;
11557 note 63 86;
11557 note 63 86;
11819 note 63 0;
11819 note 63 0;
12455 note 61 104;
12455 note 61 104;
13571 note 61 0;
13571 note 61 0;
14178 note 63 77;
14178 note 63 77;
15315 note 63 0;
15315 note 63 0;
15921 note 75 39;
15921 note 75 39;
15955 note 63 46;
15955 note 63 46;
21523 note 63 0;
21523 note 63 0;
21554 note 75 0;
21554 note 75 0;
