0 length 6352;
0 note 72 51;
0 note 72 51;
243 note 72 0;
243 note 72 0;
347 note 84 48;
566 note 79 52;
566 note 79 52;
591 note 84 0;
945 note 79 0;
945 note 79 0;
1442 note 77 48;
1442 note 77 48;
1756 note 77 0;
1756 note 77 0;
1834 note 81 51;
1834 note 81 51;
2040 note 81 0;
2040 note 81 0;
2061 note 79 47;
2061 note 79 47;
2251 note 79 0;
2251 note 79 0;
2453 note 77 53;
2453 note 77 53;
2606 note 77 0;
2606 note 77 0;
3012 note 72 39;
3012 note 72 39;
3154 note 72 0;
3154 note 72 0;
3388 note 84 51;
3531 note 84 0;
3636 note 79 57;
3636 note 79 57;
3730 note 79 0;
3730 note 79 0;
4436 note 77 50;
4436 note 77 50;
4591 note 77 0;
4591 note 77 0;
4820 note 76 50;
4820 note 76 50;
4963 note 76 0;
4963 note 76 0;
5047 note 74 53;
5047 note 74 53;
5151 note 74 0;
5151 note 74 0;
5446 note 79 44;
5446 note 79 44;
5516 note 79 0;
5516 note 79 0;
